title,sents
基 于 的 混 凝 土 坝 变 形 预 测 深 度 学 习 模 型 研 究,"混 凝 土 坝 变 形 监 测 与 预 测 分 析 是 一 个 长 期 需 关 注 的 问 题 。 考 虑 到 混 凝 土 坝 变 形 预 测 模 型 是 预 测 结 构 性 态 演 化 、 评 价 安 全 服 役 状 况 的 关 键 措 施 , 充 分 利 用 谷 歌 开 源 深 度 学 习 框 架 平 台 , 结 合 深 度 学 习 理 论 中 成 熟 的 卷 积 神 经 网 络 技 术 建 立 了 基 于 深 度 学 习 的 混 凝 土 坝 变 形 安 全 预 测 模 型 , 并 以 残 差 图 、 均 方 误 差 和 平 均 百 分 比 误 差 等 指 标 评 价 作 为 模 型 的 拟 合 、 预 测 精 度 评 价 标 准 。 通 过 仿 真 实 例 表 明 , 相 比 于 浅 层 神 经 网 络 模 型 和 传 统 的 统 计 模 型 , 基 于 深 度 学 习 的 混 凝 土 坝 变 形 预 测 模 型 预 测 精 度 更 高 , 性 能 更 加 稳 定 , 为 混 凝 土 坝 变 形 监 测 提 供 了 一 种 新 方 法 。 研 究 所 得 成 果 为 混 凝 土 坝 变 形 预 测 提 供 参 考 依 据 。"
基 于 人 工 智 能 技 术 的 智 慧 供 热 体 系 的 应 用 与 分 析,"在 智 慧 供 热 与 精 准 供 热 的 基 础 上 , 引 入 人 工 智 能 技 术 , 以 "" 互 联 网 + "" 与 物 联 网 平 台 为 依 托 , 应 用 室 内 测 温 技 术 、 智 能 控 制 与 信 息 对 接 技 术 , 建 立 一 种 基 于 人 工 智 能 技 术 的 智 慧 供 热 体 系 。 该 体 系 提 高 了 企 业 管 理 水 平 , 推 动 智 慧 供 热 与 智 慧 节 能 进 一 步 发 展 , 降 低 能 耗 , 减 少 污 染 , 实 现 管 网 精 准 供 热 的 需 要 。 结 合 天 津 市 某 小 区 的 应 用 案 例 , 具 体 阐 述 该 体 系 在 供 热 系 统 中 产 生 的 作 用 与 效 果 。"
基 于 人 工 智 能 技 术 的 软 件 缺 陷 模 式 识 别 方 法,"伴 随 软 件 系 统 规 模 逐 渐 增 大 , 软 件 里 潜 藏 的 软 件 缺 陷 对 软 件 质 量 存 在 直 接 影 响 。 高 精 度 识 别 软 件 缺 陷 模 式 , 能 够 协 助 研 发 人 员 科 学 、 准 确 判 断 软 件 可 用 性 。 但 目 前 对 软 件 缺 陷 模 式 识 别 方 法 的 研 究 并 不 充 足 , 为 此 , 提 出 一 种 基 于 人 工 智 能 技 术 的 软 件 缺 陷 模 式 识 别 方 法 , 并 在 公 共 软 件 数 据 集 中 识 别 8 种 不 同 类 型 的 软 件 数 据 集 缺 陷 模 式 , 获 得 较 为 显 著 的 软 件 缺 陷 模 式 识 别 效 果 。 该 方 法 采 用 基 于 半 监 督 集 成 学 习 的 软 件 缺 陷 预 测 方 法 , 准 确 获 取 软 件 缺 陷 样 本 , 以 此 能 够 排 除 不 存 在 缺 陷 的 软 件 样 本 , 缩 小 识 别 范 围 ; 使 用 此 样 本 经 基 于 人 工 智 能 技 术 的 缺 陷 模 式 分 类 方 法 , 便 可 对 软 件 缺 陷 模 式 实 现 高 精 度 识 别 。"
基 于 人 工 智 能 的 内 容 安 全 发 展 战 略 研 究,"内 容 安 全 是 指 对 信 息 内 容 的 保 护 , 以 及 信 息 内 容 符 合 政 治 、 法 律 、 道 德 层 次 的 要 求 。 人 工 智 能 的 发 展 对 内 容 安 全 产 生 了 非 常 重 要 的 影 响 。 本 文 从 基 于 人 工 智 能 的 内 容 安 全 重 大 战 略 需 求 出 发 , 梳 理 了 国 内 外 的 研 究 现 状 与 发 展 趋 势 , 凝 练 了 基 于 人 工 智 能 的 内 容 安 全 的 关 键 技 术 问 题 。 研 究 提 出 , 按 照 三 步 走 的 策 略 构 建 世 界 领 先 的 基 于 人 工 智 能 的 内 容 安 全 体 系 ; 在 对 抗 性 机 器 学 习 、 可 解 释 人 工 智 能 、 混 合 增 强 智 能 、 知 识 驱 动 的 内 容 安 全 等 方 面 开 展 技 术 创 新 突 破 , 同 时 应 注 重 政 策 法 规 和 监 管 机 制 建 设 ; 建 设 面 向 内 容 攻 防 的 网 络 靶 场 、 面 向 舆 情 攻 防 的 大 规 模 社 会 系 统 模 拟 装 置 等 内 容 安 全 重 大 基 础 设 施 。"
基 于 人 工 智 能 的 地 基 承 载 力 确 定 方 法,"现 有 的 地 基 承 载 力 计 算 方 法 多 依 赖 于 规 范 或 者 手 册 上 总 结 的 经 验 公 式 , 且 各 有 其 应 用 范 围 或 区 域 特 点 , 需 根 据 不 同 的 原 位 测 试 方 法 和 地 区 选 择 不 同 的 经 验 公 式 确 定 地 基 承 载 力 特 征 值 。 为 更 高 效 地 确 定 地 基 承 载 力 特 征 值 , 基 于 人 工 智 能 方 法 中 的 - 神 经 网 络 , 推 导 出 一 种 基 于 人 工 智 能 的 地 基 承 载 力 确 定 方 法 。 通 过 工 程 中 使 用 不 同 测 试 方 法 获 得 的 地 基 承 载 力 特 征 值 , 建 立 训 练 集 和 测 试 集 。 测 试 表 明 , 本 文 所 建 立 的 基 于 - 神 经 网 络 的 地 基 承 载 力 确 定 方 法 具 有 高 效 、 可 靠 的 特 点 , 可 以 根 据 测 试 数 据 快 速 有 效 地 给 出 地 基 承 载 力 特 征 值 。"
基 于 人 工 智 能 的 网 络 空 间 安 全 防 御 战 略 研 究,"网 络 空 间 是 继 陆 、 海 、 空 、 天 之 后 的 第 五 大 活 动 空 间 , 维 护 网 络 空 间 安 全 是 事 关 国 家 安 全 、 国 家 主 权 和 人 民 群 众 合 法 权 益 的 重 大 问 题 。 随 着 人 工 智 能 技 术 的 飞 速 发 展 和 在 各 领 域 的 应 用 , 网 络 空 间 安 全 面 临 着 新 的 挑 战 。 本 文 分 析 了 人 工 智 能 时 代 网 络 空 间 安 全 面 临 的 新 风 险 , 包 括 网 络 攻 击 越 来 越 智 能 化 , 大 规 模 网 络 攻 击 越 来 越 频 繁 , 网 络 攻 击 的 隐 蔽 性 越 来 越 高 , 网 络 攻 击 的 对 抗 博 弈 越 来 越 强 , 重 要 数 据 越 来 越 容 易 被 窃 取 等 ; 介 绍 了 人 工 智 能 技 术 在 处 理 海 量 数 据 、 多 源 异 构 数 据 、 实 时 动 态 数 据 时 具 有 显 著 的 优 势 , 能 大 幅 度 提 升 网 络 空 间 防 御 能 力 ; 基 于 人 工 智 能 的 网 络 空 间 防 御 关 键 问 题 及 技 术 , 重 点 分 析 了 网 络 安 全 知 识 大 脑 的 构 建 及 网 络 攻 击 研 判 , 并 从 构 建 动 态 可 扩 展 的 网 络 安 全 知 识 大 脑 , 推 动 有 效 网 络 攻 击 的 智 能 化 检 测 , 评 估 人 工 智 能 技 术 的 安 全 性 三 个 方 面 提 出 了 针 对 性 的 发 展 对 策 和 建 议 。"
基 于 分 组 模 型 的 引 力 搜 索 智 能 大 数 据 聚 类 方 法,"提 出 一 种 基 于 分 组 的 引 力 搜 索 算 法 实 现 数 据 聚 簇 。 与 标 准 引 力 搜 索 不 同 , 分 组 引 力 搜 索 设 计 一 种 特 定 的 解 编 码 策 略 , 即 分 组 编 码 , 可 将 数 据 聚 簇 的 相 关 结 构 映 射 为 解 的 一 部 分 ; 对 于 特 定 编 码 , 新 的 引 力 搜 索 机 制 在 位 置 和 速 度 更 新 策 略 上 设 计 适 合 分 组 编 码 的 更 新 规 则 , 使 分 组 引 力 搜 索 可 类 似 于 传 统 引 力 搜 索 进 行 迭 代 寻 优 。 在 多 种 经 典 测 试 数 据 集 下 对 算 法 性 能 进 行 评 估 , 其 结 果 表 明 , 与 同 为 智 能 群 体 算 法 的 标 准 引 力 搜 索 算 法 、 智 能 蜂 群 算 法 、 粒 子 群 算 法 和 萤 火 虫 算 法 相 比 , 该 算 法 的 数 据 分 类 效 率 更 高 。"
基 于 剪 切 波 弹 性 成 像 和 卷 积 神 经 网 络 建 立 深 度 学 习 模 型 预 测 肾 脏 病 变,"目 的 基 于 剪 切 波 弹 性 成 像 量 化 参 数 和 卷 积 神 经 网 络 建 立 深 度 学 习 模 型 预 测 肾 脏 病 变 。 方 法 采 集 9 4 例 肾 脏 病 变 患 者 病 例 组 和 1 0 9 名 健 康 人 对 照 组 的 肾 脏 超 声 量 化 参 数 。 利 用 卷 积 神 经 网 络 建 立 模 型 , 比 较 模 型 和 支 持 向 量 机 、 随 机 森 林 模 型 预 测 肾 脏 病 变 的 敏 感 度 、 特 异 度 、 准 确 率 和 曲 线 下 面 积 。 结 果 模 型 对 预 测 肾 脏 病 变 的 敏 感 度 为 9 0 . 4 8 % , 特 异 度 为 1 0 0 % , 准 确 率 为 9 5 . 1 2 % , 为 0 . 9 3 ; 支 持 向 量 机 模 型 的 敏 感 度 、 特 异 度 、 准 确 率 和 分 别 为 8 0 . 7 4 % 、 8 0 . 7 1 % 、 8 0 . 9 8 % 、 0 . 9 0 , 随 机 森 林 模 型 分 别 为 8 2 . 2 2 % 、 7 7 . 8 7 % 、 8 0 . 3 3 % 和 0 . 8 8 。 模 型 预 测 敏 感 度 、 特 异 度 、 准 确 率 和 均 高 于 支 持 向 量 机 和 随 机 森 林 模 型 , 与 支 持 向 量 机 模 型 和 随 机 森 林 模 型 预 测 肾 脏 病 变 差 异 均 有 统 计 学 意 义 均 < 0 . 0 5 。 结 论 基 于 量 化 参 数 和 卷 积 神 经 网 络 的 模 型 预 测 肾 脏 疾 病 性 能 良 好 , 具 有 一 定 临 床 价 值 。"
基 于 大 数 据 的 台 区 线 损 管 控 系 统 的 设 计 与 实 现,"文 章 主 要 介 绍 一 种 电 力 降 损 节 电 的 台 区 线 损 管 控 系 统 , 该 系 统 以 互 联 网 技 术 与 能 源 电 力 融 合 为 研 究 方 向 , 以 台 区 线 路 逻 辑 名 称 模 型 为 主 线 , 将 线 路 结 构 数 据 与 运 行 的 大 数 据 进 行 融 合 , 应 用 创 新 的 三 相 电 流 迭 加 算 法 , 解 决 了 多 电 源 对 台 区 线 损 数 值 的 影 响 , 实 现 线 路 段 节 点 的 三 相 电 流 、 损 耗 计 算 和 用 户 。"
基 于 大 数 据 的 排 涝 泵 站 主 机 组 异 常 温 升 研 究,"为 解 决 泵 站 主 机 组 运 行 过 程 中 存 在 异 常 温 升 问 题 提 出 应 对 方 案 。 通 过 构 建 泵 站 主 机 组 分 析 云 数 据 库 系 统 , 调 查 分 析 泵 站 日 常 运 行 管 理 的 现 状 , 收 集 涉 及 泵 站 工 程 等 资 料 , 优 选 出 各 机 组 警 报 大 数 据 及 试 验 数 据 。 通 过 实 例 将 该 方 法 运 用 到 杭 州 市 区 某 排 涝 泵 站 , 验 证 了 其 可 行 性 。 研 究 实 践 表 明 , 采 用 云 端 大 数 据 库 筛 查 的 方 法 实 现 了 较 好 的 分 析 异 常 温 升 效 果 。 该 方 法 也 避 免 了 复 杂 的 人 工 筛 查 过 程 , 结 果 为 解 决 主 机 组 异 常 温 升 问 题 提 供 参 考 , 对 指 导 排 涝 泵 站 安 全 运 行 具 有 实 用 价 值 。"
基 于 大 数 据 的 机 电 设 备 故 障 模 型 研 究,"传 统 地 铁 机 电 设 备 故 障 报 警 信 息 内 容 简 单 、 传 输 距 离 受 限 , 维 护 维 修 效 率 低 , 机 电 设 备 有 带 病 运 行 的 风 险 。 青 岛 地 铁 结 合 传 统 设 备 故 障 数 据 统 计 分 析 , 研 究 基 于 大 数 据 的 机 电 设 备 故 障 分 析 模 型 , 通 过 使 用 威 布 尔 分 布 、 线 性 回 归 、 指 数 平 滑 等 算 法 , 对 通 风 空 调 、 应 急 电 源 、 屏 蔽 门 、 环 控 、 火 灾 自 动 报 警 、 电 扶 梯 等 主 要 机 电 设 备 进 行 有 效 的 故 障 检 测 及 使 用 寿 命 预 测 , 为 机 电 设 备 的 智 能 维 修 提 供 帮 助 。"
基 于 深 度 学 习 和 机 器 视 觉 的 多 源 数 据 感 知 技 术 研 究,"机 械 臂 位 姿 误 差 容 易 导 致 运 行 轨 迹 偏 离 , 影 响 机 械 臂 定 位 效 果 。 为 此 , 将 机 器 视 觉 技 术 与 深 度 学 习 算 法 有 机 结 合 , 形 成 一 种 高 性 能 的 多 源 数 据 感 知 方 法 , 以 采 集 高 精 度 的 机 械 臂 位 姿 数 据 。 首 先 , 基 于 视 觉 成 像 原 理 , 设 计 多 摄 像 机 机 械 臂 位 姿 数 据 采 集 方 案 布 局 , 以 获 取 视 觉 图 像 坐 标 与 机 械 臂 位 姿 的 关 系 ; 其 次 , 以 卷 积 神 经 网 络 为 核 心 , 构 建 具 有 5 层 卷 积 层 、 4 层 最 大 池 化 层 以 及 3 层 全 连 接 层 的 深 度 学 习 模 型 , 用 以 融 合 多 摄 像 机 采 集 的 机 械 臂 多 源 图 像 数 据 ; 再 次 , 运 用 批 量 梯 度 下 降 法 , 优 化 模 型 的 卷 积 核 和 偏 置 参 数 , 以 深 度 刻 画 图 像 特 征 ; 最 后 , 结 合 机 械 臂 位 姿 模 型 , 得 到 精 准 的 运 行 位 姿 数 据 。 经 测 试 检 验 , 用 本 文 方 法 感 知 机 械 臂 的 仰 俯 角 、 偏 航 角 、 翻 滚 角 的 最 大 误 差 值 均 小 于 0 . 6 ° , 数 据 感 知 度 较 高 , 可 以 为 机 械 臂 工 作 路 线 的 规 划 、 机 械 臂 行 为 的 精 准 控 制 提 供 准 确 的 数 据 基 础 。"
基 于 深 度 学 习 技 术 的 烟 梗 形 态 分 类 与 识 别,"为 解 决 打 叶 复 烤 中 人 工 分 选 纯 烟 梗 、 梗 头 及 梗 含 叶 检 测 效 率 低 、 识 别 误 差 大 等 问 题 , 基 于 深 度 学 习 方 法 建 立 了 一 种 烟 梗 在 线 分 类 识 别 模 型 。 首 先 , 基 于 数 字 图 像 处 理 方 法 对 采 集 到 的 烟 梗 图 像 进 行 目 标 提 取 , 制 作 烟 梗 数 据 集 ; 其 次 , 根 据 烟 梗 图 像 特 征 对 原 始 3 模 型 进 行 改 进 , 构 建 新 的 网 络 结 构 ; 然 后 , 使 用 制 作 好 的 烟 梗 数 据 对 改 进 后 3 模 型 进 行 训 练 , 生 成 深 度 学 习 烟 梗 分 类 识 别 模 型 ; 最 后 , 将 模 型 加 载 于 烟 梗 在 线 分 类 识 别 系 统 对 其 性 能 进 行 验 证 。 结 果 表 明 : 所 建 立 模 型 在 测 试 集 上 的 表 现 良 好 , 烟 梗 识 别 精 确 度 达 到 9 5 . 0 1 % , 相 比 原 始 3 模 型 提 高 5 . 9 7 百 分 点 , 召 回 率 提 高 4 . 7 6 百 分 点 , 且 均 优 于 与 - 等 模 型 ; 针 对 不 同 复 杂 场 景 , 模 型 抗 干 扰 能 力 强 , 可 有 效 识 别 出 烟 梗 位 置 及 类 别 , 能 够 满 足 烟 梗 快 速 分 类 识 别 需 求 。 该 方 法 可 为 提 高 烟 梗 分 类 效 率 和 识 别 精 度 提 供 支 持 。"
基 于 深 度 学 习 的 光 图 像 智 能 审 像 系 统,"针 对 光 安 检 机 人 工 审 核 图 片 存 在 的 效 率 低 、 误 检 和 漏 检 等 问 题 , 设 计 并 实 现 了 一 套 基 于 - 算 法 的 光 图 片 智 能 审 像 系 统 。 实 现 了 光 图 像 采 集 、 数 据 汇 聚 、 分 析 处 理 、 违 禁 物 品 自 动 检 测 、 数 据 存 储 等 功 能 。 通 过 分 析 比 较 , 选 择 1 0 1 作 为 训 练 网 络 , 选 取 6 0 0 0 张 光 图 片 作 为 样 本 , 对 刀 、 枪 、 液 体 瓶 、 手 机 、 充 电 宝 等 五 类 违 禁 品 进 行 标 注 。 对 训 练 参 数 优 化 调 整 , 训 练 出 违 禁 品 的 - 模 型 。 在 测 试 集 上 使 用 评 估 方 法 , 检 出 违 禁 品 的 平 均 精 准 率 5 0 达 到 了 0 . 8 3 , 明 显 高 于 - 、 3 、 5 1 3 等 算 法 , 具 有 实 际 工 程 应 用 价 值 。"
