files,sents,target
一 种 土 壤 排 放 气 体 采 集 系 统 设 计,"从 农 田 、 草 地 、 森 林 等 土 壤 排 放 气 体 的 研 究 实 际 出 发 , 为 便 捷 、 准 确 地 得 到 土 壤 排 放 气 体 信 息 , 设 计 了 一 种 土 壤 排 放 气 体 采 集 系 统 。",1
一 种 土 壤 排 放 气 体 采 集 系 统 设 计,利 用 二 氧 化 碳 变 送 器 检 测 土 壤 排 放 的 二 氧 化 碳 ; 利 用 智 能 型 氧 化 亚 氮 气 体 传 感 器 模 组 得 到 土 壤 排 放 的 氧 化 亚 氮 ; 利 用 一 氧 化 氮 气 体 检 测 模 块 检 测 土 壤 排 放 的 一 氧 化 氮 。,0
一 种 土 壤 排 放 气 体 采 集 系 统 设 计,"将 采 集 的 数 据 经 模 数 转 换 输 入 到 单 片 机 中 , 由 单 片 机 对 采 样 的 数 据 进 一 步 处 理 , 并 输 入 到 无 线 模 块 , 再 由 无 线 模 块 发 送 出 去 , 供 外 围 无 线 设 备 接 收 。",0
一 种 土 壤 排 放 气 体 采 集 系 统 设 计,"通 过 试 验 数 据 分 析 , 本 系 统 电 路 简 单 , 性 能 可 靠 , 可 用 于 土 壤 排 放 气 体 的 采 集 。",0
一 种 基 于 深 度 学 习 的 双 随 机 相 位 - 振 幅 加 密 图 像 重 建 方 法,"针 对 基 于 双 随 机 相 位 振 幅 编 码 技 术 的 加 密 系 统 , 提 出 了 一 种 基 于 网 络 的 已 知 明 文 攻 击 算 法 。",1
一 种 基 于 深 度 学 习 的 双 随 机 相 位 - 振 幅 加 密 图 像 重 建 方 法,"提 出 的 攻 击 主 要 通 过 在 残 差 网 络 中 , 利 用 一 系 列 明 文 - 密 文 振 幅 图 像 对 数 据 集 来 完 成 训 练 集 的 制 作 。",0
一 种 基 于 深 度 学 习 的 双 随 机 相 位 - 振 幅 加 密 图 像 重 建 方 法,"将 明 文 - 密 文 输 入 神 经 网 络 中 进 行 训 练 可 以 让 神 经 网 络 拟 合 从 密 文 到 明 文 的 加 密 过 程 , 独 立 于 训 练 集 之 外 的 密 文 通 过 应 用 训 练 好 的 网 络 实 现 对 原 始 图 像 的 有 效 恢 复 处 理 , 从 而 达 到 了 攻 击 加 密 系 统 , 实 现 对 图 像 解 密 的 效 果 。",0
一 种 基 于 深 度 学 习 的 双 随 机 相 位 - 振 幅 加 密 图 像 重 建 方 法,"从 理 论 上 分 析 了 该 攻 击 方 法 的 有 效 性 和 可 行 性 , 并 通 过 计 算 机 仿 真 进 行 了 验 证 。",0
中 国 装 备 制 造 业 服 务 化 水 平 测 度 — — 基 于 价 值 流 动 视 角,"依 据 模 型 , 从 价 值 流 动 视 角 揭 示 国 民 经 济 系 统 整 体 视 域 下 中 国 装 备 制 造 业 与 其 它 产 业 间 价 值 增 值 量 的 变 化 规 律 及 价 值 流 动 网 络 结 构 。",0
中 国 装 备 制 造 业 服 务 化 水 平 测 度 — — 基 于 价 值 流 动 视 角,"依 据 产 业 间 价 值 流 动 的 价 值 增 值 乘 数 和 价 值 平 均 转 移 次 数 等 参 数 , 构 建 中 国 装 备 制 造 业 投 入 服 务 化 和 产 出 服 务 化 水 平 指 标 并 加 以 测 度 。",0
中 国 装 备 制 造 业 服 务 化 水 平 测 度 — — 基 于 价 值 流 动 视 角,"结 果 表 明 , 2 0 0 2 — 2 0 1 8 年 间 , 中 国 装 备 制 造 业 投 入 服 务 化 水 平 整 体 高 于 产 出 服 务 化 水 平 , 装 备 制 造 业 投 入 服 务 化 水 平 整 体 上 呈 轻 微 上 升 趋 势 , 装 备 制 造 业 产 出 服 务 化 水 平 自 2 0 1 2 年 以 后 呈 现 上 升 发 展 趋 势 。",1
云 南 某 特 色 产 业 园 区 周 边 土 壤 中 多 环 芳 烃 的 源 分 析 与 健 康 风 险 评 价,采 集 并 分 析 了 云 南 某 特 色 产 业 园 区 煤 磷 化 工 企 业 内 外 土 壤 、 积 尘 样 品 中 1 6 种 的 浓 度 。,0
云 南 某 特 色 产 业 园 区 周 边 土 壤 中 多 环 芳 烃 的 源 分 析 与 健 康 风 险 评 价,"采 用 同 分 异 构 比 值 法 进 行 来 源 分 析 , 采 用 健 康 风 险 评 价 模 型 进 行 致 癌 风 险 评 估 。",0
云 南 某 特 色 产 业 园 区 周 边 土 壤 中 多 环 芳 烃 的 源 分 析 与 健 康 风 险 评 价,"通 过 分 析 样 品 中 的 组 分 发 现 : 土 壤 中 各 组 分 4 环 以 上 的 占 比 较 大 , 其 中 含 量 : 5 环 > 6 环 > 4 环 ; 积 尘 中 各 组 分 3 环 、 4 环 占 比 较 大 。",0
云 南 某 特 色 产 业 园 区 周 边 土 壤 中 多 环 芳 烃 的 源 分 析 与 健 康 风 险 评 价,"通 过 同 分 异 构 比 值 法 分 析 发 现 : 云 南 某 特 色 产 业 园 区 不 同 土 壤 监 测 点 位 的 污 染 物 浓 度 不 同 , 但 总 体 特 征 相 似 。",0
云 南 某 特 色 产 业 园 区 周 边 土 壤 中 多 环 芳 烃 的 源 分 析 与 健 康 风 险 评 价,土 壤 中 主 要 来 源 于 煤 以 及 生 物 质 的 燃 烧 。,0
云 南 某 特 色 产 业 园 区 周 边 土 壤 中 多 环 芳 烃 的 源 分 析 与 健 康 风 险 评 价,"通 过 健 康 风 险 评 价 方 法 对 土 壤 中 的 致 癌 风 险 和 非 致 癌 风 险 分 析 表 明 : 云 南 某 特 色 产 业 园 区 土 壤 中 不 会 对 周 边 居 民 造 成 非 致 癌 风 险 ; 土 壤 中 均 会 对 儿 童 造 成 致 癌 风 险 , 部 分 采 样 点 也 会 对 成 人 造 成 一 定 的 致 癌 风 险 。",1
南 沙 区 蕉 门 水 道 总 磷 污 染 现 状 分 析 及 防 治 措 施 建 议,"对 蕉 门 水 道 蕉 门 断 面 水 质 历 史 及 现 状 进 行 了 分 析 , 确 定 了 总 磷 污 染 来 源 , 并 提 出 相 关 措 施 建 议 , 为 蕉 门 水 道 的 总 磷 污 染 防 控 提 供 技 术 支 撑 和 决 策 依 据 。",1
博 物 馆 儿 童 情 境 互 动 体 验 设 计 研 究,"为 了 解 决 儿 童 群 体 参 观 博 物 馆 的 体 验 片 段 化 的 、 不 连 贯 性 , 从 而 导 致 儿 童 对 博 物 馆 参 观 的 行 为 、 心 理 及 系 统 性 学 习 等 方 面 的 关 注 度 不 足 的 问 题 。",0
博 物 馆 儿 童 情 境 互 动 体 验 设 计 研 究,"分 析 了 博 物 馆 儿 童 情 境 互 动 体 验 的 影 响 因 素 , 运 用 体 验 设 计 的 方 法 将 博 物 馆 儿 童 的 体 验 周 期 进 行 阶 段 划 分 , 对 不 同 体 验 阶 段 的 特 点 进 行 总 结 归 纳 , 以 体 验 的 方 式 和 内 容 为 划 分 依 据 , 总 结 出 四 类 儿 童 体 验 类 型 和 体 验 偏 好 。",0
博 物 馆 儿 童 情 境 互 动 体 验 设 计 研 究,为 博 物 馆 儿 童 情 境 互 动 体 验 设 计 提 供 参 考 。,0
博 物 馆 儿 童 情 境 互 动 体 验 设 计 研 究,"在 此 基 础 上 , 分 析 并 归 纳 出 博 物 馆 儿 童 情 境 互 动 体 验 周 期 的 四 个 阶 段 : 接 触 、 成 就 、 反 思 和 拓 展 , 进 而 提 出 将 儿 童 参 观 群 体 分 为 社 交 互 动 型 、 探 究 学 习 型 、 兴 趣 培 养 型 和 文 化 感 受 型 四 种 不 同 体 验 需 求 和 偏 好 , 并 提 出 相 应 设 计 策 略 。",1
基 于 3 打 印 模 型 试 验 的 含 结 构 面 异 形 隧 洞 的 变 形 破 坏 研 究,隧 洞 交 叉 段 稳 定 性 受 围 岩 结 构 面 影 响 较 大 ， 物 理 模 型 试 验 是 研 究 结 构 面 影 响 机 制 的 有 效 手 段 。,0
基 于 3 打 印 模 型 试 验 的 含 结 构 面 异 形 隧 洞 的 变 形 破 坏 研 究,针 对 模 型 难 以 制 备 的 技 术 瓶 颈 ， 采 用 3 打 印 增 减 材 技 术 制 备 含 非 贯 通 结 构 面 的 异 形 隧 洞 模 型 。,0
基 于 3 打 印 模 型 试 验 的 含 结 构 面 异 形 隧 洞 的 变 形 破 坏 研 究,基 于 数 字 图 像 相 关 技 术 与 内 窥 摄 像 头 观 测 模 型 在 单 轴 加 载 下 的 破 坏 过 程 ， 评 估 打 印 路 径 对 隧 洞 模 型 破 坏 模 式 的 影 响 ， 并 研 究 结 构 面 倾 角 对 异 形 隧 洞 破 坏 机 制 的 影 响 规 律 。,0
基 于 3 打 印 模 型 试 验 的 含 结 构 面 异 形 隧 洞 的 变 形 破 坏 研 究,结 果 表 明 ， 3 打 印 路 径 对 隧 洞 模 型 破 坏 模 式 的 影 响 较 小 ， 采 用 3 打 印 增 减 材 方 法 制 备 结 构 面 起 控 制 作 用 的 隧 洞 模 型 具 有 有 效 性 及 可 行 性 ； 含 软 弱 填 充 物 的 非 贯 通 结 构 面 导 致 围 岩 应 力 向 两 侧 岩 柱 卸 荷 ， 客 观 上 保 护 了 洞 室 ， 提 高 了 隧 洞 的 安 全 性 ； 当 结 构 面 尖 端 距 隧 洞 较 远 时 ， 模 型 表 现 为 贯 通 裂 纹 造 成 的 岩 柱 失 稳 破 坏 ， 当 结 构 面 尖 端 位 于 隧 洞 附 近 时 ， 模 型 表 现 为 洞 顶 块 体 分 离 破 坏 ； 隧 洞 交 叉 段 扩 挖 后 形 成 的 异 形 隧 洞 与 常 规 隧 洞 的 破 坏 机 制 不 同 ， 其 拱 结 构 效 应 明 显 减 弱 。,1
基 于 的 2 视 频 监 控 网 络 分 层 管 理 机 制,文 中 提 出 了 一 种 基 于 有 限 负 载 一 致 性 哈 希 的 2 视 频 监 控 网 络 分 层 管 理 机 制 。,1
基 于 的 2 视 频 监 控 网 络 分 层 管 理 机 制,仿 真 结 果 表 明 ， 相 比 基 于 的 2 网 络 ， 所 提 管 理 机 制 能 有 效 改 善 网 络 的 负 载 均 衡 性 ， 同 时 也 降 低 了 网 络 的 整 体 响 应 时 延 。,1
基 于 的 2 视 频 监 控 网 络 分 层 管 理 机 制,网 络 的 负 载 均 衡 性 和 响 应 时 延 是 视 频 监 控 对 等 网 络 重 点 关 注 的 问 题 。,0
基 于 的 2 视 频 监 控 网 络 分 层 管 理 机 制,首 先 根 据 节 点 地 理 位 置 将 2 视 频 监 控 网 络 划 分 为 不 同 的 自 治 域 ， 自 治 域 内 分 为 一 层 超 级 节 点 和 多 层 普 通 节 点 ， 采 用 节 点 上 行 带 宽 与 每 条 视 频 传 输 通 道 所 需 带 宽 的 比 值 作 为 节 点 负 载 上 限 ， 当 上 层 节 点 总 负 载 量 到 达 上 限 后 进 行 分 层 ， 每 一 层 节 点 均 被 映 射 到 一 个 环 上 ， 并 使 用 算 法 控 制 层 内 节 点 的 负 载 均 衡 。,0
基 于 的 2 视 频 监 控 网 络 分 层 管 理 机 制,采 用 独 立 信 息 数 据 波 动 赋 权 法 计 算 出 节 点 的 各 指 标 权 重 ， 通 过 线 性 加 权 得 到 节 点 综 合 价 值 ， 当 节 点 脱 离 网 络 时 ， 选 择 其 子 节 点 层 中 综 合 价 值 最 高 的 节 点 作 为 脱 离 节 点 的 替 换 节 点 ， 在 长 期 运 行 的 网 络 中 ， 综 合 价 值 最 高 的 节 点 将 汇 聚 到 上 层 。,0
基 于 8 2 6 6 的 中 长 跑 自 动 计 时 器 系 统 设 计,"为 了 实 现 中 长 跑 自 动 计 时 , 提 出 基 于 8 2 6 6 的 中 长 跑 自 动 计 时 器 系 统 设 计 方 法 。",1
基 于 8 2 6 6 的 中 长 跑 自 动 计 时 器 系 统 设 计,"测 试 结 果 表 明 , 设 计 的 中 长 跑 自 动 计 时 器 系 统 输 出 稳 定 性 较 好 , 计 时 准 确 可 靠 , 系 统 的 能 量 消 耗 较 小 , 提 高 了 中 长 跑 计 时 的 智 能 性 和 自 动 化 水 平 。",1
基 于 8 2 6 6 的 中 长 跑 自 动 计 时 器 系 统 设 计,"设 计 的 中 长 跑 自 动 计 时 器 系 统 主 要 有 信 息 加 载 模 块 、 模 拟 控 制 模 块 、 数 字 计 时 控 制 模 块 、 中 断 模 块 以 及 人 机 交 互 模 块 等 , 构 建 中 长 跑 自 动 计 时 器 控 制 的 传 感 信 息 采 集 模 型 , 通 过 时 钟 中 断 控 制 电 路 实 现 对 中 长 跑 自 动 计 时 过 程 中 的 异 常 中 断 恢 复 控 制 , 结 合 低 功 耗 8 2 6 6 进 行 计 时 过 程 中 的 能 量 输 出 控 制 , 采 用 嵌 入 式 的 程 序 加 载 和 读 写 控 制 方 法 , 采 用 - 0 处 理 器 构 建 中 长 跑 自 动 计 时 的 集 成 信 息 处 理 器 , 通 过 应 用 层 软 件 的 模 块 化 设 计 , 实 现 对 中 长 跑 自 动 计 时 器 系 统 的 集 成 设 计 。",0
基 于 模 型 的 家 庭 医 疗 废 物 处 理 装 置 设 计 研 究,"在 后 疫 情 时 代 浪 潮 下 , 研 究 家 庭 医 疗 废 物 处 理 装 置 的 设 计 需 求 特 点 以 及 具 体 产 品 设 计 的 构 建 。",0
基 于 模 型 的 家 庭 医 疗 废 物 处 理 装 置 设 计 研 究,得 到 家 庭 医 疗 废 物 产 品 模 型 。,0
基 于 模 型 的 家 庭 医 疗 废 物 处 理 装 置 设 计 研 究,"优 化 家 庭 医 疗 废 物 回 收 处 理 流 程 、 交 叉 感 染 风 险 降 低 、 实 现 家 庭 医 疗 废 物 流 程 溯 源 管 理 , 促 进 危 废 资 源 的 可 持 续 发 展 和 提 高 公 共 卫 生 安 全 意 识 。",0
基 于 模 型 的 家 庭 医 疗 废 物 处 理 装 置 设 计 研 究,"通 过 用 户 研 究 方 法 对 用 户 需 求 进 行 收 集 , 将 模 型 和 熵 值 法 运 用 到 需 求 分 析 和 设 计 的 全 过 程 中 , 得 到 需 求 功 能 重 要 度 排 序 表 以 此 设 计 最 终 装 置 。",1
基 于 形 状 文 法 的 电 动 汽 车 设 计 研 究,"为 了 在 短 时 间 内 产 生 大 量 符 合 设 计 要 求 和 技 术 要 求 的 设 计 方 案 , 提 出 了 将 形 状 文 法 应 用 于 电 动 汽 车 形 态 设 计 的 研 究 方 法 。",1
基 于 形 状 文 法 的 电 动 汽 车 设 计 研 究,"首 先 , 对 电 动 汽 车 的 典 型 性 特 征 进 行 分 析 , 然 后 提 取 最 能 体 现 电 动 汽 车 特 征 的 前 脸 作 为 初 始 形 状 , 对 其 应 用 一 系 列 的 文 法 规 则 , 文 法 规 则 可 以 分 为 生 成 性 规 则 和 修 改 性 规 则 , 对 应 汽 车 造 型 特 征 的 遗 传 和 变 异 , 对 于 具 有 品 牌 继 承 性 的 特 征 应 用 修 改 性 规 则 变 换 , 而 对 于 创 新 性 特 征 则 可 运 用 生 成 性 规 则 进 行 添 加 和 删 除 , 同 时 指 出 具 体 的 文 法 规 则 要 根 据 相 应 的 感 性 意 象 与 约 束 规 则 进 行 确 定 。",0
基 于 形 状 文 法 的 电 动 汽 车 设 计 研 究,"最 后 , 以 具 有 代 表 性 的 特 斯 汽 车 为 例 进 行 验 证 , 用 语 义 差 异 法 检 验 最 终 方 案 。",0
基 于 形 状 文 法 的 电 动 汽 车 设 计 研 究,形 状 文 法 可 以 适 用 于 电 动 汽 车 的 造 型 创 新 设 计 。,0
基 于 情 感 设 计 三 层 次 的 户 外 建 筑 投 影 广 告 研 究,"将 唐 纳 德 · 诺 曼 的 情 感 化 设 计 中 的 本 能 层 、 行 为 层 、 反 思 层 作 为 理 论 依 据 , 应 用 到 户 外 建 筑 投 影 广 告 研 究 中 , 为 探 索 出 更 符 合 现 代 人 审 美 需 求 的 户 外 建 筑 投 影 广 告 。",0
基 于 情 感 设 计 三 层 次 的 户 外 建 筑 投 影 广 告 研 究,得 出 增 加 户 外 建 筑 投 影 广 告 吸 引 力 与 记 忆 点 的 设 计 方 法 并 加 以 例 证 。,0
基 于 情 感 设 计 三 层 次 的 户 外 建 筑 投 影 广 告 研 究,"利 用 文 献 分 析 法 、 案 例 分 析 法 、 消 费 者 调 研 分 析 法 , 把 握 了 户 外 建 筑 投 影 广 告 的 发 展 现 状 , 总 结 了 户 外 建 筑 投 影 广 告 设 计 本 身 、 广 告 与 建 筑 结 构 中 所 存 在 缺 乏 吸 引 力 与 记 忆 点 的 问 题 , 并 从 情 感 化 设 计 的 角 度 总 结 其 解 决 方 法 。",1
基 于 情 感 设 计 三 层 次 的 户 外 建 筑 投 影 广 告 研 究,"从 用 户 的 角 度 出 发 , 通 过 情 感 化 设 计 的 三 层 次 得 出 设 计 方 法 , 为 其 发 展 提 供 了 一 个 新 的 方 向 , 从 而 提 升 其 在 广 告 界 中 的 竞 争 力 。",1
基 于 文 献 资 源 的 - 同 位 素 定 年 数 据 库 建 设 研 究,"本 文 采 用 空 间 数 据 库 构 建 的 技 术 路 线 , 从 数 据 库 建 设 思 路 、 数 据 整 合 加 工 方 法 、 数 据 建 库 等 多 个 维 度 系 统 性 地 对 数 据 库 的 建 设 方 法 进 行 了 研 究 。",1
基 于 文 献 资 源 的 - 同 位 素 定 年 数 据 库 建 设 研 究,"地 质 数 据 库 是 地 球 信 息 科 学 的 重 要 组 成 部 分 , 可 为 地 球 科 学 研 究 工 作 提 供 可 靠 的 数 据 基 础 。",0
基 于 文 献 资 源 的 - 同 位 素 定 年 数 据 库 建 设 研 究,"- 同 位 素 定 年 已 广 泛 应 用 于 矿 床 成 因 、 地 幔 演 化 、 海 洋 环 境 的 研 究 中 , 建 设 - 同 位 素 定 年 数 据 库 可 整 合 相 关 研 究 成 果 , 提 升 该 领 域 成 果 资 料 的 集 成 化 管 理 和 应 用 水 平 。",0
基 于 文 献 资 源 的 - 同 位 素 定 年 数 据 库 建 设 研 究,"数 据 库 以 公 开 发 表 的 - 同 位 素 定 年 文 献 为 数 据 源 , 汇 聚 了 1 0 0 多 篇 近 十 年 来 公 开 发 表 的 - 定 年 文 献 数 据 , 涉 及 的 期 刊 达 3 5 种 以 上 , 数 据 来 源 具 有 一 定 的 权 威 性 、 广 泛 性 和 代 表 性 。",0
基 于 文 献 资 源 的 - 同 位 素 定 年 数 据 库 建 设 研 究,"通 过 对 非 结 构 化 碎 片 化 文 献 数 据 的 结 构 化 转 换 、 空 间 化 处 理 , 使 数 据 库 具 备 了 数 据 来 源 权 威 、 数 据 内 容 结 构 化 、 空 间 位 置 属 性 化 等 特 点 , 可 为 矿 床 地 质 调 查 研 究 工 作 提 供 数 据 支 持 。",0
基 于 深 度 学 习 和 机 器 视 觉 的 多 源 数 据 感 知 技 术 研 究,"为 此 , 将 机 器 视 觉 技 术 与 深 度 学 习 算 法 有 机 结 合 , 形 成 一 种 高 性 能 的 多 源 数 据 感 知 方 法 , 以 采 集 高 精 度 的 机 械 臂 位 姿 数 据 。",1
基 于 深 度 学 习 和 机 器 视 觉 的 多 源 数 据 感 知 技 术 研 究,"机 械 臂 位 姿 误 差 容 易 导 致 运 行 轨 迹 偏 离 , 影 响 机 械 臂 定 位 效 果 。",0
基 于 深 度 学 习 和 机 器 视 觉 的 多 源 数 据 感 知 技 术 研 究,"首 先 , 基 于 视 觉 成 像 原 理 , 设 计 多 摄 像 机 机 械 臂 位 姿 数 据 采 集 方 案 布 局 , 以 获 取 视 觉 图 像 坐 标 与 机 械 臂 位 姿 的 关 系 ; 其 次 , 以 卷 积 神 经 网 络 为 核 心 , 构 建 具 有 5 层 卷 积 层 、 4 层 最 大 池 化 层 以 及 3 层 全 连 接 层 的 深 度 学 习 模 型 , 用 以 融 合 多 摄 像 机 采 集 的 机 械 臂 多 源 图 像 数 据 ; 再 次 , 运 用 批 量 梯 度 下 降 法 , 优 化 模 型 的 卷 积 核 和 偏 置 参 数 , 以 深 度 刻 画 图 像 特 征 ; 最 后 , 结 合 机 械 臂 位 姿 模 型 , 得 到 精 准 的 运 行 位 姿 数 据 。",0
基 于 深 度 学 习 和 机 器 视 觉 的 多 源 数 据 感 知 技 术 研 究,"经 测 试 检 验 , 用 本 文 方 法 感 知 机 械 臂 的 仰 俯 角 、 偏 航 角 、 翻 滚 角 的 最 大 误 差 值 均 小 于 0 . 6 ° , 数 据 感 知 度 较 高 , 可 以 为 机 械 臂 工 作 路 线 的 规 划 、 机 械 臂 行 为 的 精 准 控 制 提 供 准 确 的 数 据 基 础 。",0
基 于 深 度 学 习 的 中 心 回 线 瞬 变 电 磁 全 区 视 电 阻 率 计 算,"深 度 学 习 是 人 工 神 经 网 络 算 法 的 扩 展 , 对 复 杂 函 数 有 很 好 的 逼 近 能 力 , 本 文 将 其 引 入 用 于 瞬 变 电 磁 视 电 阻 率 计 算 。",1
基 于 深 度 学 习 的 中 心 回 线 瞬 变 电 磁 全 区 视 电 阻 率 计 算,"首 先 , 建 立 归 一 化 感 应 电 动 势 与 瞬 变 场 参 数 单 一 映 射 关 系 的 5 层 深 度 神 经 网 络 , 通 过 对 单 一 隐 含 层 不 同 神 经 元 个 数 所 训 练 的 误 差 情 况 进 行 分 析 , 确 定 5 层 深 度 神 经 网 络 各 隐 含 层 神 经 元 个 数 为 1 3 , 8 , 5 , 8 , 1 3 。",0
基 于 深 度 学 习 的 中 心 回 线 瞬 变 电 磁 全 区 视 电 阻 率 计 算,"训 练 算 法 选 择 了 改 进 的 具 有 自 适 应 学 习 率 的 算 法 , 该 算 法 可 加 速 训 练 过 程 。",0
基 于 深 度 学 习 的 中 心 回 线 瞬 变 电 磁 全 区 视 电 阻 率 计 算,"对 训 练 好 的 深 度 神 经 网 络 模 型 进 行 仿 真 实 验 , 采 用 典 型 地 电 模 型 加 以 验 证 , 发 现 其 对 不 同 的 地 电 模 型 均 具 有 较 好 的 反 映 , 证 明 本 文 采 用 的 基 于 深 度 学 习 计 算 视 电 阻 率 的 可 行 性 。",0
基 于 深 度 学 习 的 中 心 回 线 瞬 变 电 磁 全 区 视 电 阻 率 计 算,应 用 结 果 表 明 训 练 好 的 深 度 神 经 网 络 模 型 可 快 速 准 确 计 算 视 电 阻 率 。,0
基 于 深 度 学 习 的 云 计 算 虚 拟 机 分 类 算 法,"随 着 云 计 算 数 据 中 心 规 模 及 复 杂 性 的 不 断 增 长 , 其 监 控 和 管 理 的 可 扩 展 性 问 题 已 逐 渐 成 为 一 项 挑 战 性 任 务 .",0
基 于 深 度 学 习 的 云 计 算 虚 拟 机 分 类 算 法,"对 云 计 算 平 台 中 相 似 行 为 的 虚 拟 机 进 行 聚 类 处 理 , 可 提 升 云 计 算 平 台 监 控 和 管 理 的 可 扩 展 性 .",0
基 于 深 度 学 习 的 云 计 算 虚 拟 机 分 类 算 法,"然 而 , 在 准 确 率 和 时 效 性 上 , 现 有 的 虚 拟 机 聚 类 技 术 无 法 满 足 云 计 算 平 台 的 要 求 .",0
基 于 深 度 学 习 的 云 计 算 虚 拟 机 分 类 算 法,"本 文 提 出 一 种 基 于 深 度 学 习 的 虚 拟 机 分 类 算 法 , 即 对 云 计 算 平 台 中 虚 拟 机 的 行 为 进 行 分 析 , 将 具 有 相 似 行 为 的 虚 拟 机 进 行 分 类 , 然 后 将 同 类 的 虚 拟 机 部 署 在 尽 可 能 少 的 服 务 器 上 、 降 低 基 础 设 施 成 本 , 从 而 提 升 云 计 算 数 据 中 心 监 控 和 管 理 的 可 扩 展 性 .",1
基 于 深 度 学 习 的 云 计 算 虚 拟 机 分 类 算 法,"采 用 真 实 云 数 据 中 心 的 虚 拟 机 数 据 对 本 文 算 法 及 同 类 算 法 进 行 对 比 实 验 , 结 果 表 明 本 文 算 法 准 确 率 更 高 、 实 时 性 更 好 , 可 满 足 云 计 算 平 台 的 要 求 .",1
基 于 深 度 学 习 的 智 能 分 类 垃 圾 桶,"垃 圾 分 类 已 成 为 全 国 新 风 尚 , 但 是 垃 圾 分 类 的 过 程 中 , 由 于 垃 圾 品 类 复 杂 而 繁 多 , 群 众 反 应 存 在 分 类 困 难 。",0
基 于 深 度 学 习 的 智 能 分 类 垃 圾 桶,"为 了 更 好 地 解 决 垃 圾 分 类 困 难 这 一 社 会 热 点 问 题 , 为 垃 圾 分 类 提 供 一 种 自 动 化 、 智 能 化 的 解 决 方 法 迫 在 眉 睫 。",0
基 于 深 度 学 习 的 智 能 分 类 垃 圾 桶,"论 文 改 进 了 垃 圾 图 像 识 别 技 术 , 提 出 了 一 种 基 于 深 度 学 习 的 智 能 分 类 垃 圾 桶 。",1
